id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,liquidity_ratio,is_stablecoin
bitcoin,BTC,Bitcoin,85221.0,1690833930262.0,1.0,1690833930262.0,28533358008.0,85438.0,82290.0,2931.44,3.56233,53321815834.0,3.25627,19845146.0,19845146.0,21000000.0,108786.0,-21.67102,2025-01-20T09:11:54.494Z,67.81,125562.65637,2013-07-06T00:00:00.000Z,2025-04-01T23:26:58.143Z,0.01687531666908214,False
ethereum,ETH,Ethereum,1909.66,230371364015.0,2.0,230371364015.0,15876364965.0,1923.93,1820.96,87.58,4.80668,10351310387.0,4.70471,120659504.7581715,120659504.7581715,,4878.26,-60.86123,2021-11-10T14:24:19.604Z,0.432979,440866.33854,2015-10-20T00:00:00.000Z,2025-04-01T23:26:52.362Z,0.06891639953985884,False
tether,USDT,Tether,0.99997,143988681925.0,3.0,143988681925.0,22296809116.0,0.999984,0.999687,0.00022834,0.02284,90357242.0,0.06279,143992979510.8807,143992979510.8807,,1.32,-24.422,2018-07-24T00:00:00.000Z,0.572521,74.66066,2015-03-02T00:00:00.000Z,2025-04-01T23:26:52.538Z,0.15485112314323313,True
ripple,XRP,XRP,2.14,124457030519.0,4.0,213793478341.0,3649956363.0,2.19,2.07,0.053958,2.58726,2735918574.0,2.24769,58205697378.0,99986304107.0,100000000000.0,3.4,-37.0406,2018-01-07T00:00:00.000Z,0.00268621,79552.98103,2014-05-22T00:00:00.000Z,2025-04-01T23:26:57.986Z,0.029327040407273627,False
binancecoin,BNB,BNB,610.01,88985628569.0,5.0,88985628569.0,1333121416.0,620.34,603.91,6.1,1.01056,706445115.0,0.80024,145887575.79,145887575.79,200000000.0,788.84,-22.67555,2024-12-04T10:35:25.220Z,0.0398177,1531804.25994,2017-10-19T00:00:00.000Z,2025-04-01T23:26:57.816Z,0.014981311448132206,False
solana,SOL,Solana,127.01,65063006260.0,6.0,75857923701.0,3505845331.0,129.75,124.12,1.9,1.51719,873693373.0,1.36112,512504647.7062027,597536767.7713641,,293.31,-56.73706,2025-01-19T11:15:27.957Z,0.500801,25238.47314,2020-05-11T19:35:23.449Z,2025-04-01T23:26:57.716Z,0.053883850939659916,False
usd-coin,USDC,USDC,0.999955,60120093677.0,7.0,60109779208.0,10182130886.0,1.0,0.999869,6.529e-05,0.00653,46602868.0,0.07758,60126471438.44887,60116155875.35426,,1.17,-14.73619,2019-05-08T00:40:28.300Z,0.877647,13.92899,2023-03-11T08:02:13.981Z,2025-04-01T23:26:51.799Z,0.16936319062815022,True
dogecoin,DOGE,Dogecoin,0.174394,25896272936.0,8.0,25896811159.0,1217897041.0,0.174867,0.165588,0.00880576,5.31788,1218439902.0,4.93739,148673556383.7052,148676646383.7052,,0.731578,-76.21587,2021-05-08T05:08:23.458Z,8.69e-05,200120.88482,2015-05-06T00:00:00.000Z,2025-04-01T23:26:59.907Z,0.04702981946513726,False
cardano,ADA,Cardano,0.679021,24429550883.0,9.0,30546973437.0,657099469.0,0.691842,0.65963,0.01919461,2.90904,632925665.0,2.65973,35988173820.26504,45000000000.0,45000000000.0,3.09,-78.00936,2021-09-02T06:00:10.474Z,0.01925275,3425.89362,2020-03-13T02:22:55.044Z,2025-04-01T23:26:59.196Z,0.02689773021808851,False
tron,TRX,TRON,0.237311,22531731325.0,10.0,22531742225.0,520888232.0,0.23917,0.233296,-0.0014250469893989,-0.59691,-145649310.1808052,-0.64227,94988231848.80132,94988277803.77322,,0.431288,-44.99758,2024-12-04T00:10:40.323Z,0.00180434,13047.123,2017-11-12T00:00:00.000Z,2025-04-01T23:26:51.910Z,0.02311798523099068,False
staked-ether,STETH,Lido Staked Ether,1907.23,17918423070.0,11.0,17918423070.0,23307295.0,1920.21,1820.04,85.94,4.71843,838654365.0,4.91022,9377932.47746903,9377932.47746903,,4829.57,-60.44248,2021-11-10T14:40:47.256Z,482.9,295.62508,2020-12-22T04:08:21.854Z,2025-04-01T23:26:56.923Z,0.0013007447647009932,False
wrapped-bitcoin,WBTC,Wrapped Bitcoin,85070.0,10980161208.0,12.0,10980161208.0,181185287.0,85420.0,82233.0,2741.09,3.32945,360861589.0,3.39817,128915.05657878,128915.05657878,128915.05657878,108368.0,-21.47564,2025-01-20T07:16:27.137Z,3139.17,2610.75105,2019-04-02T00:00:00.000Z,2025-04-01T23:26:51.677Z,0.016501149989308975,False
the-open-network,TON,Toncoin,4.06,9992724895.0,13.0,20819678264.0,318790452.0,4.2,4.0,-0.0328555602649425,-0.80242,-100327815.60957909,-0.99403,2460381433.71243,5126164324.331927,,8.25,-50.77384,2024-06-15T00:36:51.509Z,0.519364,682.29058,2021-09-21T00:33:11.092Z,2025-04-01T23:26:50.374Z,0.03190225442506791,False
chainlink,LINK,Chainlink,14.07,8983959066.0,14.0,14079234396.0,404200237.0,14.36,13.51,0.559834,4.14444,361031427.0,4.18688,638099971.4505637,1000000000.0,1000000000.0,52.7,-73.27031,2021-05-10T00:13:57.214Z,0.148183,9405.55826,2017-11-29T00:00:00.000Z,2025-04-01T23:26:59.076Z,0.04499132665571742,False
leo-token,LEO,LEO Token,9.27,8565821976.0,15.0,9135313571.0,3417516.0,9.38,9.12,0.114976,1.25652,116507166.0,1.37889,923820088.9,985239504.0,,10.14,-8.50667,2025-03-10T09:26:43.294Z,0.799859,1059.32272,2019-12-24T15:14:35.376Z,2025-04-01T23:26:52.360Z,0.00039897116815821156,False
stellar,XLM,Stellar,0.272266,8373849188.0,16.0,13604725854.0,154836718.0,0.278781,0.262376,0.00902035,3.42659,263030639.0,3.24296,30776615937.85941,50001786892.81792,50001786892.81792,0.875563,-68.93164,2018-01-03T00:00:00.000Z,0.00047612,57032.8986,2015-03-05T00:00:00.000Z,2025-04-01T23:26:58.541Z,0.018490507116116457,False
wrapped-steth,WSTETH,Wrapped stETH,2284.83,8211193976.0,17.0,8211193976.0,28101102.0,2301.47,2176.61,102.11,4.67804,337136092.0,4.28161,3594917.77148155,3594917.77148155,,7256.02,-68.51003,2022-05-13T15:09:54.509Z,558.54,309.08769,2022-05-13T01:36:45.053Z,2025-04-01T23:27:00.511Z,0.0034222918228621812,False
avalanche-2,AVAX,Avalanche,19.69,8168880848.0,18.0,8890886306.0,274085042.0,19.9,18.73,0.959376,5.1212,388240845.0,4.98983,414883717.5246371,451553160.2737983,720000000.0,144.96,-86.4343,2021-11-21T14:18:56.538Z,2.8,602.05449,2020-12-31T13:15:21.540Z,2025-04-01T23:26:56.022Z,0.03355233686228937,False
usds,USDS,USDS,0.999944,8037793961.0,19.0,8037793961.0,16756552.0,1.001,0.998688,-4.268482484249e-06,-0.00043,30814024.0,0.38484,8038014452.628178,8038014452.628178,,1.057,-5.40543,2024-10-29T05:40:51.197Z,0.948265,5.4736,2024-10-03T13:19:28.826Z,2025-04-01T23:26:59.975Z,0.0020847202704254537,True
sui,SUI,Sui,2.41,7828195690.0,20.0,24086882700.0,947147144.0,2.5,2.26,0.142703,6.29261,638090562.0,8.87457,3249982900.458887,10000000000.0,10000000000.0,5.35,-54.95127,2025-01-04T22:56:18.063Z,0.364846,560.15768,2023-10-19T10:40:30.078Z,2025-04-01T23:26:59.081Z,0.12099175614757786,False
shiba-inu,SHIB,Shiba Inu,1.269e-05,7480805753.0,21.0,7484029575.0,176638489.0,1.313e-05,1.234e-05,3.51539e-07,2.84821,191683489.0,2.62972,589250784134091.6,589504719347434.0,,8.616e-05,-85.26806,2021-10-28T03:54:55.568Z,5.6366e-11,22518399.6568,2020-11-28T11:26:25.838Z,2025-04-01T23:26:57.872Z,0.023612227724154354,False
hedera-hashgraph,HBAR,Hedera,0.170408,7193566277.0,22.0,8519140053.0,218927733.0,0.175394,0.161909,0.007128,4.36549,288643242.0,4.18025,42220025920.59389,50000000000.0,50000000000.0,0.569229,-70.07736,2021-09-15T10:40:28.318Z,0.00986111,1627.27308,2020-01-02T17:30:24.852Z,2025-04-01T23:26:52.414Z,0.030433824416128335,False
litecoin,LTC,Litecoin,84.68,6408163175.0,23.0,6408163175.0,324001909.0,85.85,82.95,1.58,1.89715,102283702.0,1.62204,75699476.98347135,75699476.98347135,84000000.0,410.26,-79.37322,2021-05-10T03:13:07.904Z,1.15,7265.96927,2015-01-14T00:00:00.000Z,2025-04-01T23:26:54.033Z,0.050560808167934956,False
polkadot,DOT,Polkadot,4.18,6353275603.0,24.0,6353275603.0,159212155.0,4.27,4.02,0.154847,3.85093,228544928.0,3.73151,1522267060.0,1522267060.0,,54.98,-92.41207,2021-11-04T14:10:09.301Z,2.7,54.66106,2020-08-20T05:48:11.359Z,2025-04-01T23:26:57.427Z,0.025059853365218477,False
mantra-dao,OM,MANTRA,6.3,6214388083.0,25.0,11428023693.0,56771703.0,6.39,6.21,0.084509,1.36005,81397603.0,1.32721,986632442.9899998,1814379595.11,,8.99,-29.91734,2025-02-23T01:52:21.073Z,0.01726188,36380.28678,2023-10-12T17:25:09.068Z,2025-04-01T23:26:53.244Z,0.009135525854155124,False
bitcoin-cash,BCH,Bitcoin Cash,308.86,6131172322.0,26.0,6131172322.0,137903226.0,316.42,302.53,6.33,2.09148,117383705.0,1.95191,19850165.52165078,19850165.52165078,21000000.0,3785.82,-91.84027,2017-12-20T00:00:00.000Z,76.93,301.52534,2018-12-16T00:00:00.000Z,2025-04-01T23:26:57.246Z,0.02249214648643503,False
bitget-token,BGB,Bitget Token,4.63,5558275257.0,27.0,5558275257.0,124235126.0,4.7,4.5,0.131225,2.91912,163465437.0,3.03005,1199999994.2,1199999994.2,2000000000.0,8.45,-45.25205,2024-12-27T11:41:24.992Z,0.0142795,32298.74173,2020-06-25T04:17:05.895Z,2025-04-01T23:26:59.804Z,0.022351380645199308,False
weth,WETH,WETH,1908.62,5438349456.0,28.0,5438349456.0,207940601.0,1923.26,1821.7,86.92,4.77137,201489825.0,3.84753,2849868.902547669,2849868.902547669,,4799.89,-60.24424,2021-11-09T00:00:00.000Z,82.1,2224.18372,2018-12-15T00:00:00.000Z,2025-04-01T23:26:51.775Z,0.03823597631641419,False
ethena-usde,USDE,Ethena USDe,0.999843,5260299758.0,29.0,5260299758.0,137129405.0,1.0,0.999215,0.00012575,0.01258,781814.0,0.01486,5261126990.831035,5261126990.831035,,1.032,-3.12444,2023-12-20T15:38:34.596Z,0.929486,7.56862,2024-10-04T07:57:15.809Z,2025-04-01T23:27:00.360Z,0.026068743476348483,True
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),0.999363,5185116587.0,30.0,5185116587.0,206919830.0,1.004,0.997304,-4.6293270425712e-05,-0.00463,7409296.0,0.1431,5184994401.618545,5184994401.618545,,1.05,-4.83887,2024-08-05T14:21:42.527Z,0.942186,6.04646,2024-12-05T22:30:39.827Z,2025-04-01T23:26:59.167Z,0.03990649516324945,True
